"","trainPres","bio1","bio5","bio6"
"947",1,17.6,31.4,5.6
"404",1,17.3,32.3,4.7
"341",1,17.5,30.1,6.4
"526",1,17.1,31.6,5.1
"545",1,17.6,33.6,4.7
"1089",0,14,32.4,0.1
"729",1,17.1,27.9,7.5
"346",1,16.8,26.1,6.9
"961",1,17.1,27.9,7.5
"20",1,17.8,30.6,6.1
"162",1,16.1,35.1,2
"866",1,13.5,28.7,2.7
"376",1,13.1,22.2,4.6
"470",1,14.1,25.7,4.5
"135",1,17.1,27.9,7.5
"333",1,17.6,30.9,5.4
"630",1,13.5,21.7,6
"199",1,17.6,30.9,5.4
"977",1,17.9,30.9,6.5
"847",1,13.5,28.7,2.7
"1053",0,15.7,33.2,2.9
"913",1,21.6,41,4.9
"324",1,17,32.2,5
"353",1,15.5,33,2.3
"484",1,15.6,28.1,5.3
"743",1,13.8,23.7,4.4
"660",1,15.2,33.7,2.3
"775",1,13.9,24,4.1
"568",1,17.4,32.3,5.2
"39",1,17.8,30,6.2
"1073",0,15.2,34,1.5
"653",1,18,32.6,5.2
"823",1,17.3,28,7.2
"942",1,18.2,29.6,7.4
"598",1,14.3,31.1,1.8
"969",1,17.6,33.6,4.7
"382",1,17.4,30.4,5.9
"197",1,17.3,28,7.2
"781",1,17.6,33.6,4.7
"855",1,17.6,31.4,5.6
"854",1,14.8,31.6,1.6
"719",1,17.1,27.9,7.5
"24",1,15.2,26,5
"206",1,17.9,30.9,6.5
"659",1,14,30.9,2.5
"908",1,17.4,31.3,5.5
"935",1,13.7,21.4,6.4
"47",1,17.3,28,7.2
"703",1,16.9,26.9,7
"94",1,14.3,26.8,4.2
"31",1,14.9,29.3,3.3
"732",1,17.6,31.4,5.6
"62",1,16.6,31.2,4.3
"258",1,16.8,32.4,4
"889",1,13.8,25,3.6
"509",1,17.4,29.7,6.4
"1050",0,17,36.4,2.2
"34",1,17,26.4,7.5
"467",1,15.6,28.1,5.3
"539",1,17.9,29.4,7.5
"918",1,17.6,26.7,8.8
"983",1,12,23.6,2.3
"780",1,17.7,31,5.8
"178",1,17.2,31.8,4.9
"982",1,17.8,30,6.3
"759",1,13.9,30.6,1.8
"276",1,17.2,29.3,6.4
"720",1,16.2,35.6,2.3
"340",1,17.3,29.3,6.8
"940",1,17.4,30.4,5.9
"1020",0,13.7,34.3,-0.4
"502",1,16.9,29.6,5.2
"64",1,15.6,33.2,2.2
"754",1,13.7,23.8,4
"886",1,14.7,27.3,3.8
"806",1,17.2,27.1,7.1
"885",1,16.1,32.4,2.9
"1084",0,16.9,29.6,4.3
"52",1,18.2,32.3,5.5
"465",1,13.8,23.9,3.9
"216",1,16.2,26.9,5.9
"61",1,17.3,28,7.2
"861",1,17.3,34.2,3.7
"158",1,17.3,28,7.2
"132",1,17.3,32.3,4.7
"310",1,16.9,25.9,7.4
"403",1,16.9,29.6,5.2
"542",1,17.9,32,5.8
"313",1,14.2,23.2,5.6
"441",1,18.1,30.8,6.8
"1048",0,11.3,32.4,-2.7
"816",1,13.9,30.6,1.8
"873",1,17.6,30.8,5.8
"66",1,17.1,31.9,5.2
"831",1,18.2,28.8,8.4
"951",1,15.5,30.8,3.6
"898",1,13.1,30.8,1.8
"713",1,14.6,32.9,0.8
"538",1,13,22.7,4.5
"518",1,14.6,28.2,3.4
"359",1,13.5,29.4,1.7
"3",1,14.5,27.9,3.8
"2",1,17.5,27.5,8.4
"626",1,16.8,32.4,4
"38",1,18,32.2,5.6
"682",1,17.6,31.3,5.7
"247",1,17.3,28,7.2
"255",1,13.4,26.6,3
"701",1,17.7,31.4,5.7
"566",1,16.8,26.4,6.9
"429",1,13,20.7,6
"1033",0,20.4,39.6,3.9
"426",1,14.3,31.2,2.3
"752",1,14.6,34.2,0.1
"533",1,17.7,32.4,5.3
"791",1,15.1,29.5,3
"292",1,17.9,33.5,4.7
"1064",0,14.1,24.4,4.1
"731",1,17.5,30.1,6.4
"474",1,16.9,24.4,8.5
"643",1,17.2,29.3,6.4
"422",1,13.5,28.7,2.7
"487",1,13.9,30.6,1.8
"1061",0,14.7,29.9,2.6
"843",1,17.6,33.6,4.7
"558",1,15.6,28.1,5.3
"1031",0,13.1,31.9,0
"803",1,14.4,31.8,0.9
"191",1,13.6,22.5,5.2
"632",1,17.6,30.3,6.4
"169",1,15.5,31.9,2.4
"844",1,17.7,31,5.8
"23",1,17.2,26.5,7.2
"812",1,17.2,31.8,4.9
"761",1,13.9,27.2,2.8
"944",1,14.4,25,4.7
"1063",0,20.3,39.6,3.7
"1062",0,11.7,29.4,-0.5
"789",1,17.6,30.8,5.8
"928",1,18.2,34.5,4.7
"152",1,15.5,27,5.7
"357",1,12.2,29.4,-0.8
"511",1,17.8,32.3,5.2
"12",1,14.2,25,4.6
"400",1,17.3,28,7.2
"157",1,12.7,33,-1.1
"677",1,16.8,32.4,4
"446",1,17,27.4,7
"1039",0,15.6,34.3,1.4
"492",1,17.4,31.6,5.1
"522",1,16.9,24.4,8.5
"702",1,13.4,25.3,3.4
"123",1,17.3,32.3,4.7
"642",1,17.4,31.6,5.1
"561",1,12.7,23.9,3.5
"811",1,17.6,30.8,5.8
"594",1,16.5,29.3,5.7
"651",1,17.7,29.2,7.4
"737",1,17.5,28.5,6.7
"37",1,15.6,27,5
"513",1,14.3,31.1,1.8
"377",1,17.3,28,7.2
"117",1,16.5,31.9,3.8
"903",1,17.6,33.6,4.7
"506",1,14.9,30.2,3.2
"482",1,18.3,31.8,5.8
"230",1,17.3,28,7.2
"877",1,14.5,26.8,3.8
"183",1,14.3,24.6,4.7
"663",1,17.6,31.5,5.8
"833",1,17.6,30.8,5.8
"601",1,17.1,28.2,6.2
"6",1,15.3,26.8,4.8
"916",1,13.9,30.6,1.8
"582",1,16.3,26.1,6.3
