,species,score1,score2,score3,score4,lat,lon,geometry,WWF_MHTNAM-ecoregion,ECO_NAME-ecoregion
51,Phrynosoma cornutum,0.645142002989537,0.5847533632287,0.559043348281016,0.586397608370703,31.820612322842802,-101.490253855478,POINT (-101.490253855478 31.8206123228428),"Temperate Grasslands, Savannas and Shrublands",Edwards Plateau
52,Phrynosoma douglassii,0.736363636363636,0.7383838383838379,0.7111111111111109,0.725252525252525,38.9653640273163,-114.061897497626,POINT (-114.061897497626 38.9653640273163),Deserts and Xeric Shrublands,Great Basin
53,Phymaturus patagonicus,0.9285714285714279,0.9285714285714279,0.912698412698413,0.896825396825397,-40.8185353939394,-69.3418617575758,POINT (-69.3418617575758 -40.8185353939394),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
54,Plestiodon gilberti,0.8004010207801681,0.799307327743347,0.762850893182647,0.7365111192125409,36.142520089232,-118.84288331643101,POINT (-118.842883316431 36.142520089232),"Mediterranean Forests, Woodlands and Scrub",Great Central Valley
55,Protobothrops mucrosquamatus,0.732323232323232,0.7592592592592591,0.747474747474747,0.7441077441077439,21.7018966554622,106.827619647059,POINT (106.827619647059 21.7018966554622),Tropical and Subtropical Moist Broadleaf Forests,South China-Vietnam Subtropical Evergreen Forests
56,Rana palmipes,0.729775280898876,0.7426966292134829,0.73876404494382,0.737078651685393,4.45470998798396,-80.1118133047774,POINT (-80.1118133047774 4.45470998798396),,
57,Rana pipiens,0.6597752808988759,0.6734831460674161,0.717078651685393,0.712247191011236,43.494036727208005,-80.3698183159876,POINT (-80.3698183159876 43.49403672720801),Temperate Broadleaf and Mixed Forests,Great Lakes
58,Rana warszewitschii,0.9197368421052629,0.925,0.8993421052631579,0.9039473684210529,9.80027735895738,-83.58634523601499,POINT (-83.58634523601499 9.800277358957381),Tropical and Subtropical Moist Broadleaf Forests,Talamancan Montane Forests
59,Reticulitermes flavipes,0.375,0.4583333333333329,0.327380952380952,0.36309523809523797,35.7348566578947,-85.7463143684211,POINT (-85.7463143684211 35.7348566578947),Temperate Broadleaf and Mixed Forests,Interior Low Plateau
60,Sceloporus graciosus,0.871912491178546,0.884791813690896,0.8722653493295699,0.8870853916725479,37.0838506560191,-117.46076500286699,POINT (-117.460765002867 37.0838506560191),Deserts and Xeric Shrublands,Mojave Desert
61,Sceloporus malachiticus,0.86820652173913,0.7884963768115941,0.748188405797102,0.8740942028985509,12.0249065919764,-86.3404123110338,POINT (-86.3404123110338 12.0249065919764),Tropical and Subtropical Moist Broadleaf Forests,Costa Rican Seasonal Moist Forests
62,Sceloporus occidentalis,0.945121951219512,0.949864498644987,0.941508581752484,0.9593495934959351,34.7219541720322,-118.938984805835,POINT (-118.938984805835 34.7219541720322),"Mediterranean Forests, Woodlands and Scrub",California South Coast
63,Sceloporus variabilis,0.8180894308943092,0.84369918699187,0.666260162601626,0.7507113821138209,18.9260385195473,-94.84229025,POINT (-94.84229025 18.9260385195473),,
64,Sphenomorphus incognitus,0.8,0.8,0.65,0.5,22.174409375,120.1571748125,POINT (120.1571748125 22.174409375),,
65,Spodoptera exempta,0.652173913043478,0.515942028985507,0.547826086956522,0.71304347826087,-24.1440616511628,115.048632011628,POINT (115.048632011628 -24.1440616511628),Deserts and Xeric Shrublands,Carnarvon Xeric Shrublands
66,Takydromus septentrionalis,0.861607142857143,0.8816964285714292,0.875,0.8515625,29.443917223563,119.59509511972401,POINT (119.595095119724 29.443917223563),Temperate Broadleaf and Mixed Forests,Changjiang Plain Evergreen Forests
67,Takydromus sexlineatus,0.714756258234519,0.695652173913043,0.730566534914361,0.719367588932806,14.665823579883302,103.69485277437201,POINT (103.694852774372 14.6658235798833),Tropical and Subtropical Dry Broadleaf Forests,Central Indochina Dry Forests
68,Tarentola boettgeri,0.516806722689076,0.7310924369747901,0.789915966386555,0.529411764705882,27.9088431847826,-16.0441501195652,POINT (-16.0441501195652 27.9088431847826),,
69,Thamnophis ordinoides,0.8985123966942149,0.907768595041322,0.852892561983471,0.88,45.311153052018206,-123.617448096812,POINT (-123.617448096812 45.31115305201821),Temperate Conifer Forests,Pacific Northwest Coast
70,Thamnophis sirtalis concinnus,0.826330532212885,0.822128851540616,0.802521008403361,0.8165266106442579,45.133525970798395,-123.634770550186,POINT (-123.634770550186 45.1335259707984),Temperate Conifer Forests,Pacific Northwest Coast
71,Uta stansburiana,0.909044715447155,0.8887195121951221,0.859756097560976,0.831639566395664,34.2582430932798,-116.94584108625901,POINT (-116.945841086259 34.2582430932798),"Mediterranean Forests, Woodlands and Scrub",California South Coast
72,Xantusia riversiana,0.8457711442786071,0.977611940298508,0.977611940298508,0.5,33.007954140074,-118.60829627176001,POINT (-118.60829627176 33.007954140074),,
73,Xantusia vigilis,0.7414772727272729,0.728977272727273,0.708522727272727,0.694223484848485,34.088836692932894,-115.36270116416,POINT (-115.36270116416 34.08883669293289),Deserts and Xeric Shrublands,Sonoran Desert
74,Zootoca vivipara,0.631578947368421,0.663707461424646,0.670894102726696,0.55146903403086,56.34187681,10.233252573,POINT (10.233252573 56.34187681),Temperate Broadleaf and Mixed Forests,Baltic Mixed Forests
